 labels,sensor1_integral_value,sensor1_max_gradient,sensor1_ mean_gradient,sensor1_variance_value,sensor1_wavelt_energy,sensor1_RSAV,sensor2_integral_value,sensor2_max_gradient,sensor2_ mean_gradient,sensor2_variance_value,sensor2_wavelt_energy,sensor2_RSAV,sensor4_integral_value,sensor4_max_gradient,sensor4_ mean_gradient,sensor4_variance_value,sensor4_wavelt_energy,sensor4_RSAV,sensor5_integral_value,sensor5_max_gradient,sensor5_ mean_gradient,sensor5_variance_value,sensor5_wavelt_energy,sensor5_RSAV,sensor6_integral_value,sensor6_max_gradient,sensor6_ mean_gradient,sensor6_variance_value,sensor6_wavelt_energy,sensor6_RSAV,sensor7_integral_value,sensor7_max_gradient,sensor7_ mean_gradient,sensor7_variance_value,sensor7_wavelt_energy,sensor7_RSAV
0,35.29002461,0.43534922,105.5081122,34.60033718,35.86666667,134.2621174,1.020976379,0.008993277,2.23425656,1.040462307,0,1.542779794,0.04578109,6.42E-05,0.172150614,0.053421315,0,0.263531068,2.695276852,0.001873769,215.2891169,7.74983415,0,538.1522255,13132.64138,2.047051747,123681.2646,12792.90379,13500,206863.9467,20,0.195701992,63.56284303,20,20,95.95773642
0,35.53085641,0.359047976,74.5340504,35.21952992,35.86666667,119.2577779,0.913000535,0.004343428,0.752504909,0.694600464,0,0.665615517,0.034511546,-0.000275668,0.095698794,0.036902007,0,0.13940609,1.169127762,0.000786595,63.11929242,2.537843578,0,197.1358737,13267.45506,1.381409735,60281.83053,13080.69756,13500,155738.2654,20,0.216513492,42.55715635,20,20,77.80050314
0,35.58970294,0.484170465,237.468715,35.37044218,35.86666667,310.5062127,0.957163682,0.011932528,4.019131909,0.817052419,0,2.670643184,0.032279771,0.000223375,0.429108804,0.034829701,0,0.692979226,0.911524839,0.001620193,1091.47005,1.882909412,0,3374.29448,13304.17081,2.515570884,626500.7556,13171.44477,13500,1123319.916,20,0.289490714,138.8511319,20,20,222.4376178
0,35.60167694,0.558366653,172.0857568,35.28010353,35.86666667,248.4536701,0.892119355,0.009769739,2.413788897,0.818391147,0,2.006396144,0.03060137,8.43E-05,0.297376104,0.036211367,0,0.463800467,0.818626855,0.001928469,561.1644568,2.356682438,0,1619.859807,13311.0597,3.335704451,328675.8126,13119.5031,13500,701214.1485,20,0.304755899,100.9606931,20,20,171.2077546
0,35.52834428,0.464252613,210.5135987,35.26397243,35.86666667,299.8942917,0.951439876,0.008499435,2.922029512,0.826155768,0,5.288897483,0.035093898,1.60E-05,0.380856103,0.037316682,0,0.635837471,1.217736422,0.00137309,1053.815867,2.476826026,0,4383.992892,13266.79837,2.307056847,498998.5595,13110.98051,13500,1089669.768,20,0.223693431,129.565415,20,20,232.8726034
0,35.3543462,0.409738541,160.9635292,35.15360435,35.86666667,239.6922495,0.997691438,0.008228714,2.351535075,0.764160766,0,1.374100077,0.040696943,0.000340995,0.265333503,0.035777189,0,0.428182261,2.238962536,0.001190692,461.75885,2.904078769,0,1329.840546,13167.93313,1.803236732,286572.7248,13044.78132,13500,646698.7183,20,0.275006976,93.47416217,20,20,163.6005538
0,35.55483261,0.500342417,141.8669388,35.44513492,35.86666667,213.37463,0.699494258,0.008523234,2.004096507,0.762625692,0,1.328970072,0.02796921,7.70E-05,0.222526119,0.029569734,0,0.354888505,0.905928525,0.001843909,278.251646,1.407550235,0,863.8958568,13280.29899,2.690183664,219940.9607,13213.9874,13500,506069.5465,20,0.280156323,81.06521595,20,20,141.7586871
0,35.61041949,0.526005176,186.9143467,35.46269743,35.86666667,263.4213479,0.88728506,0.005819004,2.566784673,0.73754983,0,1.947045874,0.029940325,0.000497665,0.321377468,0.030881908,0,0.49811917,0.781495697,0.000712449,677.6193588,1.339606298,0,2328.123234,13316.73397,2.926278687,388265.7991,13224.23061,13500,805151.4855,20,0.3190303,105.9867232,20,20,178.258535
0,35.42601914,0.443719323,110.7541753,35.31193824,35.86666667,176.1325333,0.790819301,0.012661391,1.750782412,0.62517106,0,1.283453323,0.031643715,0.000335211,0.157275628,0.027226266,0,0.263164709,1.547755037,0.002096003,159.6554262,1.76329684,0,453.5415919,13203.3165,2.137073787,133756.3306,13128.52158,13500,340319.4097,20,0.274449613,62.69204314,20,20,113.4183116
0,34.78342034,0.329979294,63.19278993,34.13317096,35.86666667,91.0326957,1.108017493,0.006500268,0.998976617,0.898887368,0,0.93880526,0.05149358,-0.000117136,0.099256571,0.055687445,0,0.131116224,6.479343537,0.000319662,68.7990956,11.06737373,0,143.2977508,12884.02881,1.152875552,44096.29161,12567.46323,13500,91652.64859,20,0.182988895,35.52718192,20,20,58.00379369
0,35.41599413,0.348644771,130.4539525,35.17316402,35.86666667,194.9266661,1.058669007,0.005399536,1.708237639,0.885172845,0,1.403819837,0.041336095,0.000212643,0.213635137,0.04038735,0,0.352089077,1.946281417,0.000717341,260.0649007,3.113465787,0,850.4959613,13203.60358,1.301749327,186803.0523,13063.42575,13500,426719.6126,20,0.214436473,74.99361064,20,20,131.765749
0,35.16288388,0.368011146,130.3620515,34.96156574,35.86666667,194.5218833,1.078862974,0.005726781,1.735208544,0.886853692,0,1.18542869,0.042902836,0.000239649,0.204197303,0.038267113,0,0.34899667,3.488623878,0.000290242,325.9338663,4.223296934,0,1006.162095,13066.66032,1.432923822,188768.608,12946.28662,13500,430363.6252,20,0.217328209,76.21791683,20,20,137.4015983
0,35.40321787,0.429898772,193.5177766,35.13475106,35.86666667,268.2571936,1.077559945,0.008811805,3.142568573,0.957255905,0,2.213809722,0.042115025,0.000322408,0.358443131,0.04211389,0,0.598573125,2.047431423,0.002039814,732.8665498,3.48031166,0,2431.618412,13197.00284,2.009419112,416425.2671,13046.32866,13500,835865.3152,20,0.276127988,119.5839744,20,20,203.5779433
0,35.12446586,0.656441562,302.9187755,34.98354214,35.86666667,392.252872,1.048738621,0.008541084,4.309609091,0.835860058,0,2.439311001,0.04075967,0.000611903,0.638033888,0.034773287,0,0.977012664,3.61019335,0.002268093,2747.641928,3.799339823,0,8405.970904,13043.63231,4.59387923,1052543.952,12950.42482,13500,1895113.515,20,0.366430067,194.1559495,20,20,304.5384393
0,35.03909379,0.311128895,70.00647944,34.91632808,35.86666667,132.5679651,0.727199976,0.006411019,0.597364193,0.548512525,0,0.344410067,0.028358345,5.06E-05,0.074936876,0.025710363,0,0.104239525,3.14129633,0.001051252,48.7829427,3.091571165,0,111.9163133,12972.59017,1.053669044,52964.6706,12883.40398,13500,188100.9725,20,0.196417572,41.18900089,20,20,85.29357989
0,35.37648819,0.409562762,158.5949851,35.12523631,35.86666667,228.4266488,1.052106265,0.007181532,2.480820491,0.964607009,0,1.269887547,0.043238212,0.000423919,0.271846596,0.042883829,0,0.436079323,2.193239083,0.00144413,447.2354721,3.569281292,0,1407.887236,13181.4129,1.810869971,278165.6332,13041.88191,13500,594037.7726,20,0.283441172,91.76165774,20,20,158.4866458
0,35.51978237,0.348143274,177.4322245,35.25727383,35.86666667,257.1679134,1.124293449,0.00483727,2.671568394,0.894047123,0,1.685012197,0.039206514,0.000261355,0.298259389,0.040502282,0,0.482665292,1.373156398,0.001162186,551.9248996,2.666025902,0,1748.341171,13263.16661,1.31347316,347865.7323,13110.5235,13500,751674.5585,20,0.233409202,101.2078441,20,20,176.6506327
0,35.57061244,0.501714226,255.9892948,35.34611108,35.86666667,340.5038774,1.041417267,0.008392337,3.664244065,0.831037663,0,1.823317665,0.034962108,0.000480201,0.494898609,0.036089482,0,0.763739535,1.052373105,0.000566427,1467.364903,2.040028966,0,4857.890801,13292.99614,2.660054948,734908.0429,13157.92056,13500,1378287.919,20,0.301373841,156.4425211,20,20,254.0887248
0,35.38964648,0.490336606,275.5932685,35.16087785,35.86666667,370.8526753,1.023496162,0.006649015,4.013518177,0.85210329,0,2.226245017,0.040939291,0.000550763,0.534499999,0.037961542,0,0.820452567,2.06633268,0.000933646,1907.589825,3.053673364,0,5796.273549,13188.25,2.554571367,858691.4566,13053.78554,13500,1636041.193,20,0.307952421,167.2182095,20,20,274.6212301
0,34.51140596,0.330641181,104.2498616,34.35887723,35.86666667,173.6602604,0.973519962,0.0075891,1.712557268,0.720681859,0,0.871690367,0.046876985,-3.60E-05,0.162417115,0.036850552,0,0.198357276,7.593192294,0.000987091,272.7715504,6.743159879,0,609.5046633,12727.50633,1.182784252,122948.6931,12595.54556,13500,336670.6687,20,0.203297,64.54174552,20,20,118.4612967
0,35.09747615,0.27869124,77.97830688,34.5588858,35.86666667,108.6966607,1.115639317,0.007184506,1.29817338,1.070268341,0,1.217290415,0.052040034,-7.77E-05,0.135753698,0.057038139,0,0.190286785,4.250753246,0.0006711,110.4969693,8.425525101,0,288.4527709,13038.81733,0.838368756,67308.03612,12783.33385,13500,133472.1614,20,0.172512794,45.23908281,20,20,74.6625333
0,35.31221687,0.326091152,131.9030729,35.02721158,35.86666667,184.8522532,1.135184744,0.008541084,1.69423157,0.916255132,0,1.184357708,0.04621129,-0.000105941,0.268679529,0.043594214,0,0.37469033,2.713047846,0.000798257,400.833608,4.111282665,0,1197.653028,13149.254,1.145320421,195636.4657,12987.67906,13500,398646.0497,20,0.173938927,87.51075843,20,20,143.6980098
0,35.35007981,0.315293806,224.974211,34.88436152,35.85018229,259.7058204,1.242634022,0.008541084,3.334842625,1.1560451,0.082379366,1.362676266,0.048046206,0.000299478,0.461657334,0.053098356,0.002347137,0.637639079,2.598452209,0.000647917,1380.228934,5.871543844,0.003954927,3525.640649,13172.32472,1.064458251,575857.269,12936.36233,13486.496,825246.1827,20,0.189001313,138.5545961,20,20,199.4309405
0,35.33838609,0.202993257,159.9436615,34.91484875,35.84798415,209.2761236,1.162176474,0.008550009,2.105411436,1.048911168,0.08514607,1.911197715,0.047144642,-8.49E-05,0.309661495,0.051391219,0.002540983,0.489413472,2.582283844,0.00088674,661.6989265,5.400312141,0.004789022,2307.522057,13163.74362,0.464343691,289873.7864,12943.94163,13484.75742,536702.8259,20,0.12482232,105.6194575,20,20,175.6755745
0,35.39522064,0.224644612,138.6236258,35.08547706,35.8572402,177.1866,0.972368656,0.004507051,1.706553817,0.846147439,0.041348843,1.317308264,0.039519149,-0.000185053,0.258847471,0.038681976,0.00120805,0.354008912,1.967447011,0.001497585,419.0905044,3.48052499,0.001210226,1092.686502,13189.9473,0.581168932,215214.5173,13012.16989,13492.29793,365748.7115,20,0.108734456,83.81860266,20,20,122.7361629
0,35.57861143,0.415860356,177.2136851,35.39113032,35.86399738,233.7342962,0.843148688,0.009478194,2.422172309,0.767686083,0.039953591,1.227434997,0.029765651,-0.00035976,0.289805559,0.032887058,0.000643989,0.47285754,0.893895718,0.003086396,637.0323152,1.70929613,0.000174686,1803.334831,13296.647,1.919639245,349900.3214,13182.13413,13497.69363,632918.626,20,0.2,101.3374624,20,20,164.8033951
0,35.47885454,0.259652645,151.3995432,35.23558184,35.86666667,204.4337151,0.96635033,0.006589516,1.820542036,0.764125067,0,0.65695841,0.036357316,-0.000373522,0.309194141,0.034634489,0,0.421047888,1.484291722,0.002195853,502.4817067,2.471017811,0,1366.320415,13237.9175,0.781676398,256882.3177,13091.36447,13500,484249.1181,20,0.105633216,101.1016927,20,20,156.6827764
0,35.33455308,0.271120664,157.7538838,34.97047074,35.86666667,203.6928667,1.03360802,0.00876718,2.719890522,1.159870887,0,1.669750699,0.044429448,0.000201184,0.283842028,0.051341064,0,0.442676332,2.447752158,0.00137114,473.071083,5.188605193,0,1378.082404,13158.12012,0.820419257,276185.0618,12977.39724,13500,480930.4625,20,0.195140522,90.96907425,20,20,143.7168844
0,35.2593182,0.192188691,70.7050002,34.9137719,35.86666667,113.6017025,0.853748438,0.005191289,0.60694056,0.698075207,0,0.538525614,0.04116866,-0.00029712,0.088960034,0.038672511,0,0.153614455,2.617987179,0.001452108,57.84065256,4.168907981,0,174.5502801,13110.12084,0.437291993,54295.38008,12909.67312,13500,141217.9323,20,0.098066533,41.88850135,20,20,77.24540915
0,35.45904151,0.414031138,246.0196402,35.17398128,35.86666667,315.194351,1.121294699,0.005920152,3.976527637,1.099928601,0,4.841732611,0.041876919,0.000228234,0.488213817,0.046353768,0,0.760528021,1.747123212,0.0008765,1373.349814,3.552165717,0,4632.051625,13228.70263,1.830611867,679228.8053,13075.06313,13500,1196451.491,20,0.256405488,151.2114503,20,20,236.9922383
0,35.53597894,0.426832352,228.7712908,35.31833984,35.86666667,304.2912382,1.005283513,0.007957994,3.453685964,0.936838817,0,2.439281252,0.036108323,9.87E-05,0.425483903,0.039774477,0,0.718095304,1.213512252,0.000695706,1160.1209,2.358538787,0,3968.596703,13271.7888,1.934383747,586388.9514,13145.80405,13500,1103563.513,20,0.242531071,143.2348893,20,20,234.4512967
0,35.59748101,0.463741992,181.4948152,35.42953775,35.86666667,257.6832286,0.814583209,0.008541084,2.594633189,0.725709526,0,2.707086333,0.029284767,1.91E-05,0.30609292,0.031401797,0,0.488001252,0.803789472,0.000540843,656.4593726,1.480443434,0,1955.227046,13308.14084,2.276734931,366631.2859,13203.9595,13500,761343.4081,20,0.267942599,103.6680944,20,20,175.670885
0,35.40970726,0.473528411,88.93440372,35.10846451,35.86666667,144.5874302,0.825087761,0.008341762,1.529621586,0.756830487,0,1.232284167,0.035403888,0.000131658,0.122026625,0.036026292,0,0.18444883,1.717684168,0.00186136,93.79626643,3.110500286,0,187.6414155,13194.83019,2.417989854,85922.18776,13018.41566,13500,225365.9098,20,0.292114453,49.14564186,20,20,90.57562619
0,35.46865711,0.470221475,109.5953728,35.04543165,35.86666667,166.6445983,0.90392991,0.008541084,1.713604451,0.850806212,0,1.749181888,0.035690189,-0.000154984,0.165046145,0.038964827,0,0.232419362,1.490881029,0.003288396,190.2182313,3.708149539,0,461.1135935,13230.96328,2.432593148,132076.3995,12990.27001,13500,306402.0084,20,0.274051054,61.85912711,20,20,106.2324543
1,34.43527391,0.299911624,166.8517685,34.17562615,35.86666667,223.5685804,1.151210805,0.008541084,2.268635093,1.002365086,0,1.077913964,0.050556878,5.93E-05,0.341897093,0.044943377,0,0.530085017,8.858067764,0.00058391,911.4396042,9.465842396,0,2472.437887,12712.73308,0.963017368,322021.905,12550.71003,13500,607125.0068,20,0.156575102,109.761638,20,20,175.1364748
1,35.313934,0.225434422,117.8415762,34.97635561,35.86666667,179.81071,1.116302731,0.005872553,1.435949307,0.926004046,0,1.548521449,0.046249193,6.76E-05,0.190401795,0.043812433,0,0.307671958,2.674241763,0.000369027,280.4361963,4.451027826,0,991.2404669,13149.23957,0.547057055,154750.4929,12961.6217,13500,372136.2287,20,0.13066504,68.70436966,20,20,123.9640819
1,35.11623702,0.162003471,67.62891746,34.60597668,35.86666667,111.0037615,1.083262926,0.008326888,0.619099185,0.784131612,0,0.36544297,0.05071249,-9.47E-05,0.107569377,0.050398137,0,0.14736816,4.03917801,0.000617752,62.24668163,6.91617744,0,208.0671874,13046.36092,0.298053865,49986.5556,12771.02121,13500,136181.9131,20,0.09468657,41.51621399,20,20,76.19907953
1,35.47698971,0.673883779,311.6460625,35.23462557,35.86666667,403.0212699,1.069349081,0.026527637,5.147715238,0.900984709,0,3.112631642,0.038773351,0.000294234,0.621601394,0.03797527,0,0.981242494,1.586153129,0.006731605,2277.611605,2.728097199,0,7893.732505,13238.47469,4.981116931,1092565.399,13097.18437,13500,1966677.433,20,0.311199307,189.5362777,20,20,295.7394404
1,35.23430862,0.174551734,72.64983313,34.92657012,35.86666667,125.0120749,0.898104956,0.007957994,0.867224966,0.728503005,0,0.408282263,0.040147293,-0.000249312,0.091312361,0.035893488,0,0.141064129,2.782537722,0.000585596,55.94598055,4.013440155,0,174.2051421,13097.56929,0.339933461,57154.15489,12915.33415,13500,169735.326,20,0.086595458,42.6722065,20,20,81.91451751
1,35.20307947,0.327893497,111.5165672,34.83820341,35.86666667,160.5505282,1.210644374,0.006589516,1.509558517,1.002287737,0,2.49396085,0.051657147,6.41E-05,0.184644769,0.049541637,0,0.318965863,3.633217008,0.000750381,280.5014049,5.746859977,0,1069.910163,13096.05825,1.15039939,139545.3315,12900.75372,13500,306140.3845,20,0.18715676,70.11350049,20,20,120.6516643
1,35.15868152,0.268060253,77.55761794,34.65301055,35.86666667,122.2519684,1.165838639,0.008481585,1.016201583,1.020271316,0,0.604182781,0.052973309,0.00015537,0.12568014,0.053305126,0,0.195808625,3.926400806,0.000844634,87.93314211,7.313994249,0,255.9872579,13072.43728,0.783400768,65919.41861,12816.46733,13500,165252.743,20,0.143721387,45.06399949,20,20,81.7648934
1,35.86613066,0.33775885,224.7883433,35.79271375,35.86666667,333.3984544,0.031879574,0.007642649,3.281379782,0.472249658,0,1.95939192,0.000288702,0.000102085,0.379129463,0.010771559,0,0.602337761,1.82E-05,0.000324558,889.7615177,0.072971862,0,3072.678375,13499.47191,1.209395241,558574.372,13441.16213,13500,1267845.731,20,0.19891033,133.071345,20,20,232.3178672
1,35.29269318,0.322465937,150.4379637,34.98521533,35.86666667,230.1321184,1.118569644,0.007972868,1.937424882,0.936847742,0,1.317784257,0.046341802,0.000296129,0.27784716,0.043830888,0,0.427208791,2.820212123,0.000600534,443.5862924,4.383616821,0,1305.741093,13138.31933,1.113520359,251777.0328,12965.89419,13500,599034.9297,20,0.203255099,92.03915128,20,20,160.7089124
1,35.41164554,0.493033518,268.7852235,35.14285595,35.86666667,309.0689703,0.92360921,0.012557268,3.918441721,1.009258047,0,2.854673648,0.035813263,4.74E-05,0.58077806,0.040991783,0,0.855324832,1.782318591,0.002701745,1948.459029,3.453277612,0,5622.386877,13198.02812,2.636934128,821401.9508,13051.91406,13500,1189937.777,20,0.233546385,176.0218958,20,20,252.7662644
1,35.22796236,0.275789512,126.1253291,34.89716753,35.86666667,198.3868866,1.156202773,0.00576248,1.806122449,0.952626882,0,1.103082049,0.049691696,0.0001016,0.19965831,0.044191706,0,0.333654848,3.348492096,0.000580745,276.0901007,4.976998398,0,882.7182755,13106.12292,0.818547653,175711.7846,12921.14504,13500,442106.6988,20,0.178644462,73.1771005,20,20,134.7162626
1,35.37605157,0.543944626,322.1263529,35.07439757,35.86666667,464.528213,1.238311418,0.012542393,5.320491462,1.081602904,0,2.627327899,0.047326312,0.000692844,0.692225153,0.047618618,0,1.192788829,2.414594179,0.001216226,2298.096505,4.210112878,0,10951.63914,13185.89646,3.141715948,1162937.563,13023.12107,13500,2629124.767,20,0.306917306,200,20,20,355.7045647
1,35.32305345,0.497298467,152.3808019,35.17520378,35.86666667,242.4136751,1.04001904,0.008228714,2.154923544,0.795394776,0,1.389807818,0.041433034,0.000324193,0.251558753,0.031825959,0,0.396737581,2.462412937,0.000511292,421.3636798,2.688420363,0,1242.830769,13151.68208,2.610312868,257154.675,13055.58166,13500,657639.2831,20,0.268765948,89.86345486,20,20,163.7804293
1,35.22101507,0.609997779,248.3973585,34.9984059,35.86666667,348.0978136,1.227809841,0.008541084,3.866683525,1.046168263,0,2.17819956,0.050641686,0.000739341,0.470477391,0.045362801,0,0.774835772,3.509626899,0.002069351,1441.192958,4.558572749,0,4541.675416,13105.72953,3.970909199,693852.7487,12980.34833,13500,1422235.93,20,0.374294245,148.0919825,20,20,254.3528401
1,35.31070163,0.331348863,187.0974275,35.12239023,35.86666667,279.7402672,1.164731957,0.006232522,2.546566907,0.907261855,0,1.52971976,0.046825309,0.000138831,0.334184632,0.040153959,0,0.538151321,2.759339864,0.000990086,713.3997397,3.410258659,0,2220.590075,13149.2835,1.186522258,390249.7917,13036.07274,13500,894736.3557,20,0.211274645,112.3953162,20,20,197.4293449
1,35.34038924,0.470853474,320.0429661,35.06380784,35.86666667,456.6706301,1.11302731,0.008246564,5.193294461,0.910730648,0,2.669988695,0.04453626,0.000453019,0.676878053,0.040366051,0,1.086342992,2.489714648,0.000806944,2392.689114,3.749787907,0,9511.763445,13163.66088,2.353811487,1152241.176,13004.26412,13500,2504938.126,20,0.279778882,199.9999532,20,20,343.1274125
1,35.14904328,0.553422879,106.4497711,34.88586083,35.86666667,189.9324143,1.094713512,0.009284822,1.406497293,0.870806807,0,0.796424109,0.048766079,0.000612179,0.159276481,0.041885865,0,0.236670567,3.77749772,0.001780958,171.6972826,4.763328349,0,446.9579284,13062.86483,3.27249916,124397.3128,12907.21379,13500,393302.9315,20,0.281782239,61.83287312,20,20,122.857385
1,35.36527217,0.382865731,227.3632744,35.0274415,35.86666667,317.4922114,1.223511037,0.005952877,2.857490926,1.067465937,0,1.47575415,0.047284895,0.000208919,0.454715683,0.047619411,0,0.740128893,2.468020317,0.00028593,1284.835685,4.506552862,0,4326.688453,13179.71722,1.548677744,584100.7793,12998.56564,13500,1202068.915,20,0.222991091,146.6065803,20,20,246.6190127
1,35.33529196,0.391049226,288.2534068,35.0549353,35.86666667,403.6640731,1.289962516,0.008392337,4.379297317,1.054688523,0,2.482061046,0.049870083,0.000355077,0.540826783,0.047139794,0,0.888175121,2.761825451,0.001247055,1986.944388,4.282739163,0,6259.183323,13165.69043,1.648589639,935907.0543,13011.54934,13500,1917536.198,20,0.262965046,171.1730804,20,20,292.8900902
1,35.43140789,0.487754725,327.7808828,35.10140695,35.86666667,455.4421241,1.268569644,0.019875647,6.368911763,1.182599512,0,3.384809901,0.045701405,0.000350372,0.708712893,0.051135462,0,1.201443843,2.058781769,0.00410673,2135.068521,4.293346053,0,10701.44359,13216.11483,2.628001898,1195721.776,13043.58414,13500,2532283.201,20,0.221168996,200,20,20,342.1282648
1,34.89753807,0.400350251,222.739183,34.50930132,35.86666667,302.753756,1.334771226,0.008124591,3.085526864,1.095079431,0,1.757095258,0.058274242,0.000363859,0.445219166,0.053203196,0,0.714118236,6.327154577,0.000754274,1378.41618,8.453093701,0,3908.593646,12957.99087,1.708692241,565463.9155,12750.92581,13500,1092172.076,20,0.247222024,143.0374331,20,20,231.4997675
1,35.1911098,0.191407251,103.8280778,34.76181192,35.86666667,173.5000407,1.192553698,0.005042542,1.153198072,0.900386744,0,0.891860534,0.051807503,-0.000250865,0.176451291,0.048962877,0,0.249235327,3.706291117,0.00064332,183.9860747,6.016634175,0,536.6351644,13089.62281,0.407491138,119059.7276,12854.64792,13500,333757.0357,20,0.12081812,64.68283453,20,20,119.2982887
1,35.25928149,0.365510581,171.6523852,34.90083562,35.86666667,255.2119859,1.290212411,0.006193848,2.363217707,1.051365502,0,1.124501696,0.051725251,0.000286973,0.311702047,0.049560809,0,0.481710112,3.32661698,0.001150262,627.3376584,5.392794441,0,1938.15954,13127.1793,1.44267152,329394.8639,12934.54471,13500,747808.9357,20,0.241791356,103.9970117,20,20,181.8693326
1,35.14579435,0.392029274,256.2960337,34.87617778,35.86666667,357.5854081,1.327631344,0.008228714,3.807395728,1.125230559,0,2.120098768,0.055503406,0.000338781,0.497306314,0.050242668,0,0.790473987,4.295624855,0.001714613,1637.363965,5.715718762,0,4966.299336,13073.59786,1.671534283,742234.6208,12926.89751,13500,1506860.144,20,0.273314607,157.0708603,20,20,264.1317266
1,35.43580403,0.498410424,102.0745668,34.9594395,35.85470913,120.1076438,1.259210448,0.016427679,1.692592372,1.248649372,0.107734872,0.979948831,0.046073792,0.000434949,0.179824037,0.057703481,0.00223973,0.2547348,2.005820563,0.002893441,197.4728767,5.674031366,0.002691751,571.1214174,13217.47554,2.694317756,115618.6882,12981.76296,13489.9796,170264.49,20,0.228062754,59.16422584,20,20,84.78120619
1,35.0321925,0.304378612,177.5530513,34.57580268,35.85532246,218.8707848,1.323936455,0.010739573,3.551442851,1.149764979,0.044005474,1.597608139,0.05678161,0.000362195,0.334290794,0.053554989,0.001405345,0.512118187,5.189774281,0.000490247,756.7311821,8.150202693,0.001653212,1928.593328,13019.2892,0.987568621,355167.3373,12788.41919,13490.75904,566582.0316,20,0.183617825,104.0540046,20,20,158.5533241
1,35.46359846,0.410196644,259.9461446,35.077525,35.86666667,323.3759642,1.169006961,0.010831796,4.505702981,1.055116916,0,2.805527459,0.04278451,0.000539226,0.485734581,0.047664278,0,0.784242236,1.756310746,0.000954723,1430.42449,4.156846846,0,4333.982488,13231.84927,1.7966017,754774.1936,13023.62432,13500,1240858.868,20,0.255550797,151.7139387,20,20,235.7314801
1,35.23020676,0.231016977,102.327352,34.88068817,35.86666667,153.9757371,1.11757006,0.009460344,1.352838103,0.939004581,0,0.882162194,0.047961134,0.000147282,0.158485034,0.044554705,0,0.261118383,3.251651012,0.00183826,173.1683949,5.059360923,0,527.5122665,13105.57661,0.623717249,115381.9769,12911.73892,13500,266176.39,20,0.165946701,59.25474178,20,20,104.6070945
1,35.41096035,0.601685587,327.5330174,35.16787735,35.86666667,561.9531699,0.950092223,0.022109835,6.685913607,0.948099006,0,7.558130541,0.037237857,0.000670179,0.697910284,0.037826732,0,1.598640888,1.833091818,0.004800203,2252.468444,3.125348339,0,19811.01314,13198.43018,3.952491832,1198034.224,13061.2097,13500,3975284.722,20,0.297257682,200,20,20,422.2211738
1,35.14310436,0.639555741,313.3638141,34.89493638,35.86666667,409.275651,1.289260427,0.016216457,4.726596061,1.152320462,0,2.517076218,0.053899048,0.000827719,0.697368689,0.049735295,0,1.183490124,4.220618262,0.002340491,2637.031938,5.607639109,0,11059.9575,13070.09796,4.361999877,1116168.19,12937.20207,13500,2127316.467,20,0.361936634,200,20,20,338.0090229
1,35.43043141,0.276056584,297.5264795,35.18673303,35.86666667,401.5388576,1.078624978,0.005777355,4.940441483,0.934015589,0,2.976081395,0.041818742,8.41E-05,0.583358499,0.04070319,0,0.896432483,1.890036067,0.00125109,2086.582292,3.103774324,0,6064.643498,13212.19488,0.843220234,996040.697,13072.8719,13500,1892936.754,20,0.195983397,180.2084639,20,20,292.3341297
